Song,Avg Rank,Best Rank,Weeks on Chart
Evermore,57.0,57,1
Every Angel Is Terrifying,93.0,93,1
Every Breath You Take,94.0,94,1
Every Chance I Get,30.75,20,20
Every Hour,45.0,45,1
Every Little Thing,73.51724137931035,50,29
Every Storm (Runs Out Of Rain),55.2,26,20
Every Teardrop Is A Waterfall,49.05555555555556,14,18
Every Time I Hear That Song,69.27272727272727,56,11
Everybody,48.47826086956522,24,23
Everybody Dies,57.0,57,1
Everybody Dies In Their Nightmares,68.28571428571429,42,7
Everybody Hates Me,100.0,100,1
Everybody Talks,31.358974358974358,6,39
Everybody's Got Somebody But Me,86.88888888888889,77,9
Everyday,71.81818181818181,29,22
Everyday Hustle,67.0,38,2
Everyday We Lit,51.6,33,20
Everything,52.0,52,1
Everything 1K,84.0,84,1
Everything Has Changed,51.9,32,20
Everything Has Changed (Taylor's Version),63.0,63,1
Everything I Didn't Say,24.0,24,1
Everything I Love,68.64285714285714,14,42
Everything I Shouldn't Be Thinking About,81.25,69,12
Everything I Wanted,22.636363636363637,8,33
Everything Is AWESOME!!!,66.66666666666667,57,3
Everything She Ain't,94.0,94,1
Everything To Me,64.88888888888889,44,18
Everything We Need,33.0,33,1
Everything's Gonna Be Alright,78.6923076923077,66,13
Everytime,62.0,62,1
Everywhere But On,72.5,48,12
Everywhere; Everything,79.0,79,1
Evil,30.0,30,1
Evil Twins,96.0,96,1
Evil Ways,26.0,26,1
Ex For A Reason,74.2,33,5
Ex's & Oh's,36.81578947368421,10,38
Exchange,45.61764705882353,26,34
Exes,49.8,34,20
Exile,56.6,6,5
Expensive,83.0,83,1
Expensive Pain,66.0,66,1
Explosions,100.0,100,1
Extra Luv,99.0,99,1
Eyes Closed,37.65,19,20
Eyes On You,62.05,38,20
Eyes Open,42.84615384615385,19,13
Eyes Wide Open,96.0,96,1
F&N,83.0,83,1
F**k Fame,50.0,50,1
F**k Him He's A DJ,97.0,97,1
F**k Love,70.35,28,20
F**k That Check Up,97.0,97,1
F**k The Industry Pt. 2,87.0,87,1
F**k Today,76.0,76,1
F**k You! (Forget You),21.333333333333332,2,48
F**kin Problems,31.77777777777778,8,27
F**kin' Perfect,24.133333333333333,2,30
F*ck U Thought,77.0,77,1
F*ck You; Goodbye,99.0,99,1
F*ckwithmeyouknowigotit,86.88888888888889,64,9
F.N,78.78571428571429,56,14
F.N.F. (Let's Go),67.05,42,20
F150-50,75.0,53,2
F2F,73.0,55,2
FE!N,59.774193548387096,5,31
FEFE,17.15,3,20
FML,84.0,84,1
FR,76.0,76,1
FRI(END)S,65.0,65,1
FTCU,55.35,15,20
FYTB,97.0,97,1
Face 2 Face,92.0,92,1
Face My Fears,98.0,98,1
Facetime,92.0,92,1
Facts,16.0,16,1
Fade,67.38461538461539,47,13
Fade Into You,92.0,92,1
Faded,67.1,33,30
Fading,96.0,96,1
Failure,80.0,80,1
Fair Trade,56.11764705882353,3,17
Fairly Local,84.0,84,1
Faith,46.0,45,2
Faithful,81.0,72,2
Faithfully,37.0,37,1
Fake Love,23.06451612903226,8,31
Fake Smile,41.5,26,2
Fake Woke,96.0,96,1
Faking It,97.5,94,4
Fall,41.25,12,4
Fall Down,58.0,58,1
Fall Fast In Love,75.0,49,4
Fall For Your Type,69.16666666666667,50,18
Fall In Love,48.794117647058826,29,34
Fallin 4 U,74.0,74,1
Fallin',37.0,37,1
Fallin' For You,41.333333333333336,38,6
Falling,32.12820512820513,17,39
Falling Back,35.5,7,2
Falling Down,64.16666666666667,13,12
Falling Slowly,73.0,66,2
False Alarm,68.0,55,4
False God,77.0,77,1
False Prophets,73.5,54,2
Family Feud,51.0,51,1
Family Man,89.0,84,6
Family Matters,50.4,7,5
Family Ties,58.63157894736842,18,19
Famous,75.33333333333333,34,18
Famous Friends,48.27272727272727,21,22
Famous Hoes,83.0,83,1
Fancy,35.91525423728814,1,59
Fancy Like,23.2,3,45
Far,80.0,61,2
Far Away,88.68,74,25
Farmer's Daughter,71.28571428571429,47,21
Fast,70.86666666666666,47,15
Fast Car,20.725806451612904,2,62
Fast Lane,58.0,32,2
Faster,89.33333333333333,74,12
Fastest Girl In Town,68.15789473684211,47,19
Fat Bottomed Girls,56.0,56,1
Father Stretch My Hands; Pt. 1,75.3913043478261,37,23
Father Time,42.0,11,2
Faucet Failure,92.81818181818181,87,11
Favorite Crime,56.30769230769231,16,13
Favorite Song,20.296296296296298,5,27
Favorite Time Of Year,84.0,62,4
Fear And Friday's,49.0,24,3
Fear And Friday's (Poem),39.0,39,1
Fear Inoculum,93.0,93,1
Fear Of Heights,55.666666666666664,10,3
Fear.,70.5,50,2
Fearless,84.5,76,10
Fearless (Taylor's Version),71.0,71,1
Feather,39.888888888888886,21,36
Federal Nightmares,74.0,44,3
Feds Watching,74.84615384615384,66,13
Feed Me Dope,68.0,68,1
Feedback,99.0,99,1
Feel Again,54.65,36,20
Feel Alone,98.0,98,1
Feel It,91.4,78,5
Feel It Still,28.636363636363637,4,44
Feel Like A Rock Star,59.57142857142857,40,7
Feel Me,98.0,98,1
Feel No Ways,70.66666666666667,53,6
Feel So Close,27.807692307692307,12,26
Feel The Fiyaaaah,59.0,59,1
Feel The Love,47.0,47,1
Feel This Moment,27.333333333333332,8,24
Feel.,52.0,35,2
Feelin Like Tunechi,91.0,91,1
Feelin' It,90.18181818181819,84,11
Feelin' Myself,97.5,96,2
Feeling Myself,66.25,39,20
Feels,39.611111111111114,20,18
Feels Like Summer,73.5,54,2
Feigning,98.0,98,1
Felices Los 4,66.1,48,20
Feline,56.0,56,1
Feliz Navidad,21.21875,6,32
Felt Good On My Lips,52.35,26,20
Female,92.83333333333333,69,6
Femininomenon,83.77777777777777,66,9
Fetish,60.916666666666664,27,12
Fever,75.5,59,4
Fiel,83.44444444444444,62,9
Field Trip,58.0,48,2
Fifteen,33.2,25,5
Fifteen (Taylor's Version),88.0,88,1
Fight For You,83.0,83,1
Fight Night,83.625,69,16
Fight Song,25.870967741935484,6,31
Fight The Feeling,71.75,16,20
Fighting Demons,57.0,35,2
Film Out,81.0,81,1
Filter,87.0,87,1
Filthy,41.0,9,6
Fin de Semana,88.5,86,2
Fina,55.25,14,4
Final Fantasy,56.0,56,1
Final Warning,90.0,90,1
Finally Found You,55.357142857142854,24,14
Find My Way,54.2,22,5
Find Your Love,17.285714285714285,5,21
Finding My Way Back,95.0,95,1
Fine By Me,89.5,84,10
Fine By Time,58.0,58,1
Fine China,62.172413793103445,26,29
Finer Things,42.0,42,1
Finesse,18.84,3,25
Finesse Out The Gang Way,76.28571428571429,39,7
Fingers Crossed,41.0,19,19
Fire,65.5,64,2
Fire & Desire,81.75,75,4
Fire Flame,80.0,64,10
Fire N Gold,78.0,78,1
Fireball,55.85,23,20
Fireflies,21.384615384615383,4,13
Firestone,92.0,92,1
Firework,20.365853658536587,1,41
Fireworks,71.0,71,1
First Class,9.857142857142858,1,28
First Day Out,68.23809523809524,48,21
First Kiss,66.0,66,1
First Love,93.83333333333333,87,6
First Man,94.0,94,1
First Of The Year (Equinox),94.0,85,3
First Off,61.333333333333336,47,3
First Person Shooter,34.3,1,20
First Time,67.0,67,1
Fish,91.6,83,10
Fish Scale,83.0,68,3
Fistful Of Tears,97.25,94,4
Five More Minutes,71.21052631578948,44,19
Fix,77.08333333333333,65,12
Fix A Drink,81.85714285714286,67,14
Fix A Heart,69.0,69,1
Fix What You Didn't Break,88.0,88,1
Fix You,68.0,52,3
Fix'n To Break,84.0,84,1
Flamenco,63.0,63,1
Flashlight,78.57142857142857,61,7
Flatliner,75.61111111111111,56,18
Flawless,77.0,77,1
Flaws And Sins,91.0,91,1
Flex,64.88888888888889,30,9
Flex (Ooh Ooh Ooh),37.96296296296296,26,27
Flexicution,100.0,100,1
Flicka Da Wrist,97.5,94,4
Flight's Booked,28.0,28,1
Flip The Switch,48.0,48,1
Floating,67.0,67,1
Flocky Flocky,75.5,53,2
Flooded,86.0,86,1
Flooded The Face,55.25,11,4
Florida!!!,43.833333333333336,8,6
Flossin',72.0,72,1
Flower Shops,77.53846153846153,64,26
Flowers,16.95,1,60
Fly,55.73529411764706,19,34
Fly / I Believe I Can Fly,56.0,56,1
Fly As Me,81.0,81,1
Fly Away,100.0,100,1
Fly Over States,53.0,32,20
Fly S**t Only,67.0,67,1
Fly To My Room,69.0,69,1
Focus,38.642857142857146,7,14
Focused,97.0,97,1
Foldin Clothes,64.0,30,2
Follow God,50.666666666666664,7,6
Follow Me Down,89.0,89,2
Follow You,83.6,68,15
Follow Your Arrow,60.0,60,1
Foolish One (Taylor's Version) (From The Vault),40.0,40,1
Foot Fungus,81.0,81,1
Footloose,79.0,63,2
For A Nut,24.0,24,1
For Free,25.25,13,20
For Good,58.0,58,1
For Her,95.5,92,4
For Me,78.0,78,1
For My Daughter,90.0,90,1
For Real,82.0,82,1
For The First Time,56.0,23,39
For The First Time In Forever,73.26315789473684,57,19
For The Night,19.53488372093023,6,43
For Tonight,80.8,61,20
For Whom The Bell Tolls,58.0,23,2
For You,73.27777777777777,55,18
For You (Fifty Shades Freed),83.33333333333333,76,3
For You; And Your Denial,100.0,100,1
Foreign,95.5,84,10
Forever,62.5,8,38
Forever & Always (Taylor's Version),65.0,65,1
Forever After All,41.111111111111114,2,45
Forever Country,56.25,21,4
Forever Winter (Taylor's Version) (From The Vault),79.0,79,1
Forget Me,83.57142857142857,58,14
Forget Me Too,79.0,44,3
Forget You,57.6,11,5
Forgiato,80.0,80,1
Forgiveless,76.0,76,1
Formation,54.857142857142854,10,7
Fortnight,23.36842105263158,1,19
Forward,63.0,63,1
Found / Tonight,49.0,49,1
Found You,80.0,80,1
Fountains,56.0,26,2
FourFiveSeconds,26.55,4,20
Fr Fr,73.0,73,1
Fractions,52.0,52,1
Fragil,79.8125,69,16
Franchise,43.22222222222222,1,9
Freak The Freak Out,71.66666666666667,50,6
Freaks,94.85714285714286,77,7
Freaky Deaky,67.5,43,16
Freaky Friday,33.9,8,20
Free,54.94736842105263,34,19
Free Dem 5's,68.0,68,1
Free Mind,65.9047619047619,46,21
Free Promo,80.0,80,1
Free Smoke,49.5,18,4
Freedom,50.0,35,2
Freedom Was A Highway,73.5,45,20
Freeee (Ghost Town; Pt. 2),62.0,62,1
Freestyle,74.07692307692308,59,26
Fresh Eyes,78.77777777777777,59,18
Fresh Out The Slammer,40.75,11,4
Frick Park Market,65.5,60,2
Friday,73.25,34,8
Friday Night,69.55,47,20
Fried,87.0,87,1
Fried (She A Vibe),62.0,33,2
Friends,36.26829268292683,11,41
From A Table Away,83.0,71,12
From Florida With Love,45.0,45,1
From My Window,86.0,86,1
From Now On,69.5,42,2
From The D 2 The LBC,72.0,72,1
From The Garden,99.0,99,1
From The Ground Up,61.125,48,16
From Time,78.0,67,2
Front Door Famous,95.0,95,1
Froze,68.0,68,1
Frozen,75.0,54,2
Fuck Da Industry,63.0,63,1
Fuck The World,64.0,64,1
Fucking Fans,32.0,32,1
Fuel,59.0,21,3
Fuk Sumn,70.8,23,5
Fukumean,17.96875,4,32
Fully Loaded,86.0,86,1
Fun,54.6,40,15
Funeral,88.0,88,1
Funhouse,81.0,79,2
Funny Man,99.0,99,1
Furthest Thing,70.0,56,2
Futsal Shuffle 2020,53.18181818181818,5,11
G.D.F.R.,37.97142857142857,8,35
G.R.I.N.D. (Get Ready It's A New Day),79.0,79,1
G.U.Y.,76.0,76,1
GANG GANG,59.5,48,2
GATTI,69.0,69,1
GINE,83.0,83,1
GIRL,68.76190476190476,44,21
GNF (OKOKOK),55.0,55,1
GOSPEL,55.0,55,1
GTA,40.0,40,1
Galway Girl,78.4,53,5
Games,96.4,92,5
Gang Gang,63.833333333333336,33,6
Gangnam Style,20.322580645161292,2,31
Gangsta,74.33333333333333,41,12
Gangsta Boo,82.0,82,1
Gangsta Luv,59.0,39,10
Gangstas,60.0,37,2
Ganja Burns,60.0,60,1
Gas Pedal,41.64,29,25
Gasoline,58.0,29,2
Gata Only,51.4,27,25
Gato de Noche,81.5,60,8
Gatubela,66.27272727272727,37,11
Gentleman,56.333333333333336,5,15
Gently,40.666666666666664,12,3
Georgia Clay,88.0,87,3
Geronimo,71.52380952380952,53,21
Get Along,53.76190476190476,22,21
Get Along Better,52.5,27,2
Get Back Up,70.0,70,1
Get Dripped,98.0,98,1
Get Her Back,82.0,82,1
Get Him Back!,56.55,11,20
Get In With Me,65.89473684210526,49,19
Get Into It (Yuh),65.54054054054055,20,37
Get It Right,44.5,16,2
Get It Sexyy,37.26315789473684,20,19
Get It Started,94.0,89,2
Get It Together,56.5,45,2
Get Low,83.18181818181819,61,11
Get Lucky,13.379310344827585,2,29
Get Me,93.0,93,1
Get Me Bodied,46.0,46,1
Get Me Some Of That,60.2,41,20
Get On Your Knees,88.0,88,1
Get Ready,91.0,91,1
Get Right Witcha,72.0,72,1
Get Ugly,66.6923076923077,52,13
Get Up 10,57.5,38,2
Get Ur Freak On,40.0,40,1
Get Used To It,90.0,90,1
Get You,96.0,93,6
Get Your Shine On,51.0,27,20
Gettin' Over You,60.65,31,20
Gettin' You Home,94.0,94,1
Getting Older,69.0,69,1
Ghetto Gatsby,91.0,91,1
Ghost,29.84722222222222,5,72
Ghost In The Machine,79.88888888888889,40,9
Ghost In This House,98.0,98,1
Ghost Story,80.15,61,20
Ghost Town,73.4,16,20
Ghostbusters,40.5,28,4
Ghostface Killers,65.71428571428571,35,7
Ghostin,43.5,25,2
Ghosts That We Knew,94.0,88,3
Gimmick,86.0,86,1
Gimmie That Girl,58.95,34,20
Ginza,92.8,84,15
Girl Crush,43.583333333333336,18,24
Girl In A Country Song,65.4,54,20
Girl In Mine,94.44444444444444,81,9
Girl I’ve Always Been,99.0,99,1
Girl Like Me,82.07142857142857,67,14
Girl Like You,66.6842105263158,46,19
Girl Of My Dreams,85.82352941176471,29,17
Girl On Fire,25.0,11,30
Girl; So Confusing,81.0,63,2
Girls,84.42857142857143,51,7
Girls Chase Boys,75.25,52,20
Girls In The Hood,58.111111111111114,28,18
Girls Just Want To Have Fun,78.5,59,2
Girls Like You,11.711538461538462,1,52
Girls Need Love,71.1,37,20
Girls Talk Boys,68.0,68,1
Girls Want Girls,36.15,2,20
Give A Little More,86.0,86,1
Give Heaven Some Hell,81.8,69,10
Give In To Me,88.5,79,2
Give It 2 U,47.333333333333336,25,12
Give It All We Got Tonight,71.45,43,20
Give It Up To Me,64.0,40,5
Give Me A Sign (Forever And Ever),98.0,97,5
Give Me All Your Luvin',48.833333333333336,10,6
Give Me Back My Hometown,52.35,36,20
Give Me Everything,17.022222222222222,1,45
Give Your Heart A Break,34.46875,16,32
Gives You Hell,62.0,32,2
Glad You Came,23.394736842105264,3,38
Glad You Exist,62.275862068965516,21,29
Glass,91.45454545454545,84,11
Glimpse Of Us,26.95,8,20
Glitch,63.5,41,2
Glitter In The Air,76.72222222222223,18,18
Global,91.0,91,1
Glock In My Lap,54.666666666666664,19,3
Glorious,73.89473684210526,49,19
Glory,80.0,49,3
Glory And Gore,82.0,68,3
Glow,71.5,54,2
Gnarly,88.0,88,1
Gnat,60.0,60,1
Go Ahead And Break My Heart,70.0,70,1
Go Crazy,20.754716981132077,3,53
Go Flex,91.0,76,11
Go Get It,77.0,77,1
Go Hard,73.0,59,4
Go Hard Or Go Home,93.0,86,2
Go Legend,67.0,67,1
Go Loko,63.473684210526315,49,19
Go Part 1,86.0,86,1
Go Stupid,80.22222222222223,60,9
Go Your Own Way,45.0,45,1
Go!,78.88888888888889,52,9
Go2DaMoon,82.0,82,1
God Breathed,30.0,30,1
God Did,47.666666666666664,17,3
God Gave Me A Girl,87.0,81,5
God Gave Me You,37.52,22,25
God Is,36.0,36,1
God Is A Woman,23.772727272727273,8,22
God Made Girls,79.4375,61,16
God Only Knows,92.0,90,2
God Whispered Your Name,74.15,60,20
God's Country,34.34615384615385,17,26
God's Plan,10.25,1,36
God.,77.0,58,2
God; Your Mama; And Me,67.52631578947368,46,19
Godzilla,48.85,3,20
Goes Without Saying,60.0,60,1
Going Bad,23.81081081081081,6,37
Going Down!,95.0,95,1
Going; Going; Gone,49.18181818181818,23,22
Gold,51.717948717948715,13,39
Gold On The Ceiling,97.16666666666667,94,6
Gold Roses,57.0,39,3
Gold Rush,40.0,40,1
Gold Stacks,29.0,29,1
Golden,74.1,57,20
Golden Child,57.0,34,2
Golden Hour,42.57575757575758,10,33
Gone,61.666666666666664,18,21
Gone Girl,83.4,43,5
Gone Till November,61.0,61,1
Gone Too Soon,65.0,65,1
Gone; Gone; Gone,45.5,24,30
Gonna,72.94444444444444,54,18
Gonna Get This,66.0,66,1
Gonna Know We Were Here,70.625,54,16
Gonna Wanna Tonight,84.08333333333333,67,12
Gonorrhea,59.0,17,3
Gooba,43.8,3,10
Good (Don't Die),93.0,93,1
Good 4 U,15.803921568627452,1,51
Good As Hell,21.366666666666667,3,30
Good As You,56.35,36,20
Good Days,27.85,9,20
Good Drank,89.6875,70,16
Good Feeling,21.324324324324323,3,37
Good For You,17.576923076923077,5,26
Good Form,87.5,60,6
Good Girl,50.82857142857143,18,35
Good Girl Gone Missin',69.0,69,1
Good Girls,59.5,34,2
Good Good,46.892857142857146,25,28
Good Good Night,95.5,91,4
Good Graces,55.69230769230769,15,13
Good Guy,67.0,67,1
Good Kisser,81.10526315789474,65,19
Good Life,71.4,59,5
Good Love,86.6,70,5
Good Lovin,94.0,91,2
Good Luck; Babe!,18.90625,4,32
Good Morning Gorgeous,89.33333333333333,83,3
Good News,48.4,17,5
Good Old Days,59.73684210526316,48,19
Good Thing,87.625,75,8
Good Time,38.69387755102041,8,49
Good To Be Alive (Hallelujah),78.8,62,10
Good Vibes,68.53846153846153,48,13
Good Vibrations,69.0,69,1
Goodbye,98.0,98,1
Goodbye In Her Eyes,67.5,48,20
Goodbye Town,88.81818181818181,80,11
Goodbyes,14.0,3,21
Goodnight Kiss,71.3125,52,16
Goodnight N Go,87.0,87,1
Goosebumps,60.2,32,55
Gorgeous,64.0,13,4
Gorilla,52.25,22,16
Got 2 Luv U,89.5,84,6
Got It On Me,73.6,31,10
Got It Right,95.0,95,1
Got My Country On,92.55555555555556,86,9
Got The Guap,87.0,87,1
Got What I Got,42.44,16,25
Got Your Back,57.3,38,20
Gotta Have It,81.9090909090909,69,11
Gotta Lotta,100.0,100,1
Gotta Move On,91.71428571428571,79,7
Gotti,99.0,99,1
Government Official,99.0,99,1
Grace,84.26666666666667,48,15
Gracias Por Nada,52.0,52,1
Grammys,68.55555555555556,38,9
Grandpa (Tell Me 'Bout The Good Old Days),89.0,89,1
Grandson,76.0,76,1
Grapejuice,55.666666666666664,15,3
Grass Ain't Greener,87.75,71,4
Graveyard,48.25,34,20
Gravity,72.5,71,2
Great Gatsby,69.0,30,17
Great Is Thy Faithfulness,30.0,30,1
Greatest,53.5,23,2
Greatest Love Of All,38.5,36,2
Greatest Love Story,59.6,45,20
Greece,64.2,8,15
Greedy,18.682926829268293,3,41
Green Light,61.22222222222222,19,9
Greenlight,96.0,95,4
Grenade,23.833333333333332,1,36
Grove St. Party,85.55555555555556,74,9
Grow Up/Keep It On Speaker,65.0,65,1
Growin' Up And Gettin' Old,69.4,54,5
Growing Pains,80.625,65,8
Guap,83.91666666666667,71,12
Guardian Angel,48.0,48,1
Guatemala,84.0,84,1
Gucci Flip Flops,85.0,79,3
Gucci Gang,24.52173913043478,3,23
Gucci Grocery Bag,100.0,100,1
Gucci Gucci,74.5,57,10
Gucci Los Panos,71.0,71,1
Guess,48.583333333333336,12,12
Guilty As Sin?,55.333333333333336,10,9
Guilty Conscience 2,45.0,45,1
Gummo,29.789473684210527,12,19
Gun Smoke,93.0,93,1
Guts Over Fear,56.333333333333336,22,3
Guy For That,50.294117647058826,17,17
Guys My Age,78.2,68,5
Gyalchester,75.9090909090909,29,11
Gyalis,64.78947368421052,38,19
Gypsy,82.0,65,3
H*A*M,74.28571428571429,23,7
H.O.L.Y.,25.5,14,22
H.Y.B.,35.0,35,1
HAD ENOUGH,64.0,52,2
HG4,69.66666666666667,51,3
HIGHEST IN THE ROOM,19.772727272727273,1,22
HP,96.0,96,1
HVN On Earth,88.0,88,1
HYFR (Hell Ya F*****g Right),75.6,62,20
Habits,47.5,19,2
Habits (Stay High),28.564102564102566,3,39
Habitual,98.0,98,1
Haciendo Que Me Amas,72.0,72,1
Had It,75.0,75,1
Haegeum,58.0,58,1
Hail To The King,85.0,83,3
Hair,12.0,12,1
Hakuna Matata,67.0,67,1
Half Of Me,69.3,52,20
Half Of My Heart,55.166666666666664,34,18
Half Of My Hometown,74.35,53,20
Halfway Gone,64.0,50,18
Halfway Off The Balcony,74.0,74,1
Halfway There,93.0,93,1
Halfway To Hell,73.45454545454545,48,11
Hall Of Fame,44.08,25,25
Hallelujah,58.68,13,25
Hallelujah (Vancouver Winter 2010 Version),61.0,61,1
Halley's Comet,90.0,90,1
Halo,88.0,88,1
Hand Me Downs,64.0,64,1
HandClap,69.65,53,20
Handgun,98.5,98,2
Handle On You,53.85,30,20
Hands On,60.0,60,1
Hands To Myself,26.3,7,20
Handsome & Wealthy,86.0,79,8
Handsomer,67.1,40,10
Hang Tight Honey,80.72727272727273,61,11
Hangin' On,79.84615384615384,63,13
Hangover,44.0,26,2
Happier,24.424242424242426,2,66
Happier Than Ever,33.80769230769231,11,26
Happiness,52.0,52,1
Happiness Over Everything (H.O.E.),65.0,65,1
Happy,25.81132075471698,1,53
Happy Anywhere,57.81818181818182,32,22
Happy Days Are Here Again / Get Happy,48.0,48,1
Happy Does,77.5,47,14
Happy Holiday / The Holiday Season,33.89473684210526,18,19
Happy Little Pill,92.0,92,1
Happy Now,90.0,90,1
Happy Xmas (War Is Over),47.285714285714285,38,7
Hard,31.466666666666665,8,15
Hard Days,95.0,95,1
Hard For The Next,66.2,49,5
Hard Fought Hallelujah,51.0,51,1
Hard Times,90.0,90,1
Hard To Choose One,68.0,68,1
Hard To Forget,40.8,26,20
Hard To Love,58.869565217391305,27,23
Hardaway,76.0,61,11
Hardest To Love,25.0,25,1
Harlem Shake,30.238095238095237,1,21
Harley Quinn,65.85,40,20
Hasta Que Dios Diga,86.0,86,1
Hate Me,74.73913043478261,56,23
Hate Our Love,95.8,88,5
Hate Sleeping Alone,67.0,67,1
Hate The Other Side,66.0,10,7
Hate The Way,71.0,71,1
Hate U Love U,99.0,99,1
Hats Off,69.54545454545455,16,11
Haunted,80.5,63,2
Haunted (Taylor's Version),50.0,50,1
Havana,22.488888888888887,1,45
Have It All,90.0,90,1
Have Mercy,60.1,28,20
Have The Heart,56.0,56,1
Have Yourself A Merry Little Christmas,55.0,41,5
Haven't Met You Yet,34.1875,24,32
Having Our Way,58.25,15,4
Hawai,53.142857142857146,12,21
Head & Heart,99.0,99,1
Head Above Water,78.5,64,2
Head Honcho,72.0,72,1
Head Over Boots,73.58333333333333,51,24
HeadBand,76.10344827586206,53,29
Headlights,76.125,45,8
Headlines,20.36,13,25
Heads Carolina; Tails California,91.0,91,1
Headshot,71.75,42,8
Headtaps,58.0,58,1
Heal Your Heart (Interlude),93.0,93,1
Hear Me Calling,60.0,38,4
Heart Attack,43.604166666666664,10,48
Heart Like A Truck,49.56521739130435,29,23
Heart Like Mine,65.85,44,20
Heart Of A Giant,83.0,83,1
Heart Of A Woman,62.5,57,4
Heart On Fire,70.9090909090909,56,22
Heart On Ice,51.7037037037037,25,27
Heart Skips A Beat,96.0,96,2
Heart To Heart,94.0,83,4
Heartache Medication,68.45,42,20
Heartache On The Dance Floor,67.94444444444444,47,18
Heartbeat,63.8125,42,32
Heartbeat Song,44.6,21,20
Heartbreak Anniversary,27.689655172413794,16,29
Heartbreak Warfare,53.22222222222222,34,18
Heartbreaker,45.0,13,2
Heartbroken,85.2,64,5
Heartless,45.791666666666664,1,48
Hearts Don't Break Around Here,93.0,93,1
Heat,52.6,36,20
Heat Stick,97.0,97,2
Heat Waves,21.956043956043956,1,91
Heated,51.0,51,1
Heathens,14.564102564102564,2,39
Heather,65.53333333333333,46,15
Heatin Up,75.14285714285714,18,7
Heatstroke,96.0,96,1
Heaven,52.52777777777778,15,36
Heaven And Hell,42.0,42,1
Heaven On Earth,85.0,85,1
Heavy,64.0,45,19
Heavy Heart,99.0,99,1
Heavy Is The Crown,79.0,79,1
Helium,71.0,71,1
Hell N Back,76.18181818181819,53,11
Hell Of A Night,70.625,55,16
Hell Of A View,61.57142857142857,28,21
Hell On Heels,79.33333333333333,55,3
Hell On The Heart,79.0,67,12
Hell Right,99.0,99,1
Hell To The No,53.0,53,1
Hell Yeah,91.0,91,1
Hellcat Kenny,70.0,70,1
Hellcats & Trackhawks,82.66666666666667,69,9
Hello,46.5,1,66
Hello Friday,79.0,79,1
Hello Good Morning,57.9,27,20
Hello Goodbye,49.0,49,1
Hello Kitty,75.0,75,1
Hello World,74.65,58,20
Hello; I Love You,66.0,66,1
Helluva Life,73.25,51,20
Helluva Night,96.0,96,1
Help Is On The Way,89.0,89,1
Help Me,61.666666666666664,47,18
Her,62.0,62,1
Here,29.91176470588235,5,34
Here And Now,66.06666666666666,38,15
Here Comes Santa Claus (Right Down Santa Claus Lane),35.5,21,20
Here For A Good Time,65.1,46,20
Here Tonight,69.7,42,20
Here We Go... Again,52.0,52,1
Here With Me,63.69230769230769,31,26
Here's To Never Growing Up,48.333333333333336,20,15
Here's To Us,73.0,73,1
Hero,57.0,57,1
Heroe Favorito,77.0,77,1
Heroes (We Could Be),53.95,31,20
Hey,66.0,62,2
Hey Baby (Drop It To The Floor),28.967741935483872,7,31
Hey Brother,35.43478260869565,16,23
Hey Daddy (Daddy's Home),42.85,24,20
Hey Driver,65.9,14,20
Hey Girl,61.38095238095238,39,21
Hey Jane,47.0,33,2
Hey Look Ma; I Made It,37.54545454545455,16,22
Hey Mama,21.541666666666668,8,24
Hey Mor,89.25,85,4
Hey Porsche,61.5,42,4
Hey Pretty Girl,67.35,41,20
Hey; Soul Sister,16.674418604651162,3,43
Heyy,73.16666666666667,21,12
Hi Bich,68.0,68,1
Hibachi,91.0,91,1
Hibiki,48.0,24,2
Hide Away,52.333333333333336,23,27
Hide My Gun,65.0,65,1
Hideaway,71.78571428571429,51,14
High,77.0,57,10
High By The Beach,71.0,51,3
High End,91.0,82,2
High Fashion,30.0,20,28
High Hopes,25.71153846153846,4,52
High Infidelity,70.0,33,3
High Road,38.30769230769231,22,26
High School,80.57142857142857,64,14
Higher,48.23529411764706,21,17
Higher Love,88.55555555555556,63,9
Higher Power,74.0,53,2
Higher We Go (Intro),83.0,83,1
Highjack,89.0,89,1
Highway 20 Ride,64.15,40,20
Highway Don't Care,42.25,22,20
Hillbilly Bone,64.0,40,20
Him & I,21.157894736842106,14,19
Him All Along,84.6,58,5
His & Hers,67.0,67,1
Hiss,51.666666666666664,1,6
History,91.16666666666667,65,6
History In The Making,69.5,61,12
Hit Bout It,67.0,67,1
Hit Different,75.1,29,20
Hit It Again,66.0,66,1
Hit Me With Your Best Shot / One Way Or Another,86.0,86,1
Hit Or Miss,76.5,72,2
Hit The Lights,48.0,18,2
Hit The Quan,26.85,15,20
Hitek Tek,71.0,71,1
Hits Different,58.666666666666664,27,3
Hittas,59.0,59,1
Ho Hey,30.951612903225808,3,62
Hoax,71.0,71,1
Hold Each Other,99.5,99,2
Hold It Against Me,39.0,1,17
Hold Me Closer,47.45,6,20
Hold Me Down,53.0,53,1
Hold My Hand,71.6,39,25
Hold On,63.125,20,16
Hold On; We're Going Home,19.147058823529413,4,34
Hold That Heat,57.0,57,1
Hold Tight,29.0,29,1
Hold Up,72.28571428571429,13,14
Hold You (Hold Yuh),88.2,77,15
Hold You Down,58.0,39,20
Hold Your Own,83.0,83,1
Holding You Down (Goin In Circles),75.33333333333333,60,12
Hole In The Bottle,71.25,39,20
