Song,Avg Rank,Best Rank,Weeks on Chart
Act Up,38.142857142857146,26,21
Adderall (Corvette Corvette),86.83333333333333,74,6
Addicted,92.0,92,1
Adicto,92.0,86,2
Adivino,77.0,63,2
Adore,93.0,93,1
Adore You,26.602941176470587,6,68
Adorn,36.06060606060606,17,33
Adrenalina,94.0,94,1
Adventure Of A Lifetime,48.25,13,20
Afire Love,37.0,37,1
Afraid To Sleep,78.0,78,1
Africa,68.4,51,15
After A Few,52.266666666666666,31,15
After Dark,59.666666666666664,41,3
After Hours,74.73333333333333,20,15
After Last Night,68.0,68,1
After Midnight,88.0,88,1
After Party,76.9,57,20
Afterglow,52.0,29,11
Again,42.26923076923077,33,26
Agora Hills,25.026315789473685,7,38
Agosto,74.0,74,1
Aguacero,74.33333333333333,44,3
Ahhh Ha,50.09090909090909,18,11
Ai Se Eu Te Pego,94.41666666666667,81,12
Aim For The Moon,61.5,34,2
Ain't Always The Cowboy,72.33333333333333,55,18
Ain't Back Yet,65.07692307692308,50,13
Ain't Easy,83.0,83,1
Ain't It Fun,29.958333333333332,10,24
Ain't Leavin Without You,96.75,93,4
Ain't My Fault,83.42857142857143,76,7
Ain't No Love,41.0,41,1
Ain't No Love In Oklahoma,25.153846153846153,13,26
Ain't No Stopping Us Now,88.0,88,1
Ain't Safe,92.0,92,1
Ain't Shit,60.785714285714285,24,14
Ain't That Some,66.8,11,20
Ain't Worried About Nothin,77.15384615384616,63,13
Ain't Worth The Whiskey,66.94736842105263,43,19
Ain't Your Mama,84.0,76,2
Aint Gotta Dollar,85.0,82,2
Airplanes,12.266666666666667,2,30
Album Of The Year (Freestyle),87.0,87,1
Alejandro,21.782608695652176,5,23
Alibi,96.25,95,4
Alice,80.25,71,4
Alien Superstar,57.8,19,5
Alive,61.130434782608695,32,23
All About It,81.25,71,4
All About That Bass,18.085106382978722,1,47
All About Tonight,77.3157894736842,37,19
All Alone,76.0,76,1
All Around Me,100.0,100,1
All Around The World,77.77777777777777,22,9
All Bad,52.0,50,2
All By Myself,87.0,87,1
All Da Smoke,77.0,77,1
All Dat,80.75,70,4
All Day,60.86666666666667,15,15
All Day Long,94.0,94,1
All Eyes On You,37.0,21,20
All Eyez,88.6,79,5
All Girls Are The Same,60.45,41,20
All Gold Everything,57.7,36,20
All I Ask,77.0,77,1
All I Do Is Win,49.583333333333336,24,24
All I Ever Wanted,97.66666666666667,96,6
All I Got,71.0,71,1
All I Know,64.5,46,2
All I Know So Far,90.0,74,5
All I Need Is You,98.0,98,1
All I Want,95.0,90,2
All I Want For Christmas Is You,14.938461538461539,1,65
All I Want For Christmas Is You (SuperFestive!),86.0,86,1
All I Want Is You,74.57142857142857,58,14
All In,83.54545454545455,45,11
All In My Head (Flex),49.0,24,18
All Kinds Of Kinds,94.6,89,5
All Me,42.6,20,20
All Mine,74.48275862068965,11,29
All My Friends,82.0,67,2
All My Life,17.923076923076923,2,26
All Night,51.0,38,2
All Night Parking (Interlude),53.0,53,1
All Of Me,30.26984126984127,1,63
All Of The Girls You Loved Before,57.666666666666664,12,6
All Of The Lights,40.12,18,25
All Of You,80.14285714285714,71,7
All On Me,79.55,52,20
All Or Nothing,99.0,99,1
All Over Me,76.77777777777777,59,18
All Over The Road,66.75,51,20
All Red,59.25,15,4
All That Matters,72.125,24,8
All The Good Girls Go To Hell,76.85714285714286,46,7
All The Money (Bonus),66.0,66,1
All The Parties,57.5,26,2
All The Pretty Girls,77.14285714285714,63,14
All The Right Moves,35.56521739130435,18,23
All The Stars,29.61904761904762,7,21
All The Way Home,96.0,96,1
All The Way Live,76.5,61,2
All The Way Turnt Up,72.66666666666667,46,12
All The Way Up,52.1,27,20
All These N**gas,77.0,77,1
All Time Low,34.81818181818182,16,22
All To Myself,62.285714285714285,31,21
All Too Well,80.0,80,1
All Too Well (Taylor's Version),60.2,1,15
All Up In Your Mind,70.0,70,1
All We Know,69.3125,18,16
All You Had To Do Was Stay (Taylor's Version),54.5,20,2
All Your Fault,80.0,80,1
All Your Life,59.26086956521739,37,23
All-American Bitch,44.5,13,4
Allergic,57.5,37,2
Alliigator Tears,52.0,52,1
Almost Is Never Enough,83.0,82,2
Almost Like Praying,20.0,20,1
Almost Maybes,74.17391304347827,43,23
Almost Slipped,73.0,73,1
Alone,75.83870967741936,21,31
Alone Again,21.0,21,1
Alone Together,85.125,71,8
Alone With You,56.0,41,20
Alotta Cake,67.5,46,2
Already Callin' You Mine,95.66666666666667,91,3
Already Dead,69.57142857142857,20,7
Already Gone,32.8,25,10
Already Won,60.0,60,1
Alright,88.0,81,14
Always Been You,95.0,95,1
Always Do,83.0,83,1
Always Forever,83.0,83,1
Always Remember Us This Way,66.55555555555556,41,9
Am I Dreaming,71.6,51,5
Am I Okay?,83.4,63,15
Am I The Only One,61.18181818181818,14,22
Am I Wrong,18.29032258064516,4,31
Amargura,93.33333333333333,85,6
Ambition,81.0,81,1
Amen,76.25925925925925,15,27
America Has A Problem,60.4,38,5
American Country Love Song,70.29411764705883,55,17
American Girl,94.16666666666667,87,6
American Honey,52.75,25,20
American Kids,41.6,23,20
American Nights,72.88888888888889,21,9
American Oxygen,89.25,78,4
American Saturday Night,78.08333333333333,67,12
American Star,91.0,91,1
Ameriican Requiem,30.0,30,1
Amnesia,52.5,16,20
Amor Genuino,92.0,92,1
Amped,67.0,67,1
Anaconda,26.59090909090909,2,22
Andrea,78.5,51,4
Angel,82.0,56,12
Angel Eyes,58.55,32,20
Angel In Blue Jeans,88.0,79,3
Angel With An Attitude,73.0,46,2
Angel; Pt. 1,80.5,65,2
Angels Don't Always Have Wings,80.11111111111111,69,9
Animal,39.729729729729726,13,37
Animals,39.52238805970149,3,67
Annihilate,57.0,44,4
Another Day,64.0,64,1
Another Late Night,62.0,29,2
Another One Bites The Dust,79.0,79,1
Another One Of Me,87.0,87,1
Another Round,87.5,80,6
Another Way To Die,81.0,81,1
Antes,100.0,100,1
Anti-Hero,12.433962264150944,1,53
Antichrist,39.0,39,1
Antidote,33.69230769230769,16,26
Antisocial,66.25,37,4
Any Ol' Barstool,75.22222222222223,52,18
Any Way You Want It/Lovin' Touchin' Squeezin',58.0,58,1
Anybody,89.0,89,1
Anyone,38.36842105263158,6,19
Anything Could Happen,64.75,47,20
Anything Goes,71.66666666666667,55,18
Anything Like Me,72.10526315789474,48,19
Anywhere With You,69.6,46,20
Apes**t,46.733333333333334,13,15
Apparently,74.25,58,16
Applause,14.695652173913043,4,23
Apple,72.44444444444444,51,18
Apply Pressure,63.0,63,1
Aqui Te Espero,89.0,89,1
Arcade,65.08333333333333,30,24
Are You Entertained,97.0,97,1
Are You Gone Already,60.0,60,1
Are You Gonna Kiss Me Or Not,50.9,32,20
Are You Happy Now?,95.0,95,1
Area Codes,51.666666666666664,33,18
Argentina,67.0,67,1
Armed And Dangerous,63.588235294117645,44,17
Arms,95.5,94,2
Arms Around You,64.29411764705883,28,17
Around Me,75.5,53,2
Around My Way (Freedom Ain't Free),76.0,76,1
Arson,96.0,96,1
As I Am,69.0,43,3
As If We Never Said Goodbye,80.0,80,1
As It Was,9.426229508196721,1,61
As Long As You Love Me,23.103448275862068,6,29
As Long As You Love Me (Acoustic),98.0,98,1
As Long As You're There,93.0,93,1
As She's Walking Away,53.75,32,20
As Your Friend,91.66666666666667,88,3
Ask Me How I Know,86.28571428571429,71,7
Ass Back Home,33.43478260869565,12,23
Aston Martin Music,49.85,30,20
Astronaut In The Ocean,20.857142857142858,6,28
Astronauts,82.0,82,1
Astrothunder,48.0,48,1
At Last,86.0,83,2
At My Best,80.0,60,8
At The Club,90.28571428571429,86,7
At The End Of A Bar,83.16666666666667,75,6
Atlas,72.0,69,2
Attention,29.931818181818183,5,44
Attitude,77.0,58,2
August,48.0,23,2
Auntie Diaries,47.0,47,1
Austin,31.02857142857143,18,35
Auto Pilot,85.0,85,1
Automatic,64.36842105263158,35,19
Avalanche,56.5,27,2
Aw Naw,65.7,45,20
Away From Home,32.0,32,1
Awful Things,79.0,79,1
Ay!,85.0,82,2
Ay; Dios Mio!,94.0,94,1
Aye,31.0,31,1
Aye Say Gang,80.0,80,1
Ayo,37.8,21,20
Ayy Ladies,68.10526315789474,53,19
B**** Better Have My Money,26.347826086956523,15,23
B**** I'm Madonna,89.5,84,2
B*tch From da Souf,96.33333333333333,95,3
B.E.D.,81.92307692307692,69,13
B.I.T.C.H.,72.4,31,10
B.M.F. (Blowin' Money Fast),73.5625,60,16
B.S.,72.26086956521739,24,23
B12,83.0,83,1
BAD!,60.54545454545455,16,11
BAND4BAND,52.05882352941177,18,17
BBL Love Interlude,36.0,36,1
BBO (Bad Bitches Only),68.5,48,2
BEBE,68.6,30,5
BEST ON EARTH,64.9,46,20
BLAME IT ON BABY,64.0,64,1
BLOW,66.5,60,2
BOP,28.3,11,30
Babe,83.5,72,2
Babe (Taylor's Version) (From The Vault),69.0,69,1
Babel,76.0,60,5
Babushka Boi,69.0,69,1
Baby,28.357142857142858,5,42
Baby Be My Love Song,75.3125,56,16
Baby Blue,91.0,91,1
Baby By Me,65.6,46,5
Baby Don't Hurt Me,70.21428571428571,48,14
Baby Don't Lie,74.83333333333333,46,6
Baby I,58.333333333333336,21,3
Baby I'm Back,92.0,89,2
Baby It's Cold Outside,61.5,45,2
Baby Nueva,54.0,34,2
Baby One More Time,54.0,54,1
Baby Please,95.0,95,1
Baby Pluto,51.25,6,4
Baby Shark,41.55,32,20
Baby Sitter,78.55,59,20
Baby; I'm Jealous,58.0,58,1
Baby; It's Cold Outside,78.0,57,2
Bacc At It Again,91.5,78,6
Back And Forth,68.0,68,1
Back At It,51.0,51,1
Back End,93.4,86,5
Back In Blood,30.91304347826087,13,23
Back In The A,94.0,94,1
Back In Time,40.4,11,20
Back It Up,95.0,92,2
Back Lit,80.0,80,1
Back On My BS,95.0,95,1
Back On Road,81.0,81,1
Back Then Right Now,81.5,62,12
Back To Back,46.3,21,20
Back To Black,82.0,82,1
Back To December,31.8,6,20
Back To December (Taylor's Version),46.0,16,2
Back To Me,60.666666666666664,26,3
Back To Sleep,45.65,20,20
Back To The Basics,58.0,58,1
Back To The Moon,46.5,29,2
Back To The Streets,77.15384615384616,58,13
Back To You,39.583333333333336,18,36
Back Up,61.333333333333336,47,18
BackOutsideBoyz,45.5,9,4
Backdoor,81.0,62,4
Backin' It Up,63.25,40,20
Backroad Song,71.25,49,16
Backseat,43.05,26,20
Backstage Passes,98.0,98,1
Backwoods,84.07692307692308,69,13
Bad,38.44444444444444,21,27
Bad And Boujee,20.52777777777778,1,36
Bad Ass,90.0,90,1
Bad At Love,27.96875,5,32
Bad B*tch,95.0,95,1
Bad Bad,59.0,59,1
Bad Bad Bad,69.22222222222223,32,9
Bad Bitch From Tokyo (Intro),55.0,55,1
Bad Blood,24.307692307692307,1,26
Bad Blood (Taylor's Version),44.666666666666664,7,3
Bad Boy,66.6,22,5
Bad Day,53.0,53,1
Bad Decisions,61.2,10,5
Bad Dreams,74.33333333333333,72,3
Bad Energy,42.0,16,2
Bad For You,87.0,78,2
Bad Guy,12.387755102040817,1,49
Bad Habit,15.342857142857143,1,35
Bad Habits,13.894736842105264,2,57
Bad Idea,57.333333333333336,27,3
Bad Idea Right?,44.05263157894737,7,19
Bad Liar,55.0,20,23
Bad Luck,87.0,87,1
Bad Man (Smooth Criminal),77.66666666666667,49,6
Bad Morning,69.66666666666667,28,3
Bad One,69.0,69,1
Bad Romance,22.517241379310345,2,29
Bad Things,23.391304347826086,4,23
Bad Vibes Forever,85.0,85,1
Baddest,82.5,56,20
Baddest Thing,92.0,92,1
Bag Of Money,76.6923076923077,64,13
Baggage Claim,60.35,44,20
Baguettes In The Face,90.16666666666667,81,6
Bahamas Promises,67.66666666666667,20,3
Bahm Bahm,95.0,95,1
Baila Baila Baila,89.66666666666667,69,9
Baila Conmigo,79.0,74,2
Bailando,33.9,12,30
Bait A Hook,80.5,63,10
Bake Sale,65.0,56,2
Ball,68.75,50,20
Ball For Me,61.357142857142854,16,14
Ball If I Want To,63.111111111111114,39,9
Ballad Of A Homeschooled Girl,45.0,24,2
Ballin',41.40816326530612,11,49
Balloon,76.0,56,4
Bam,47.0,47,1
Bam Bam,38.25,21,20
Bandido,86.42857142857143,82,7
Bandit,51.2972972972973,10,37
Bandz A Make Her Dance,44.45,29,20
Bang Bang,15.64516129032258,3,31
Bang Bang Bang,94.0,94,1
Bang Bang Pow Pow,61.5,48,2
Bang My Head,85.16666666666667,76,6
Bang!,39.8,8,35
Bangarang,85.3,72,20
Banjo,68.3529411764706,51,17
Bank Account,21.5,12,28
Banking On Me,82.2,61,10
Bar At The End Of The World,92.0,92,1
Barbarian,63.5,48,2
Barbie Dangerous,58.0,58,1
Barbie Dreams,48.0,18,7
Barbie Tingz,67.5,25,4
Barbie World,20.80952380952381,7,21
Barbra Streisand,89.0,89,1
Barcelona,96.0,96,1
Barefoot Blue Jean Night,44.875,21,24
Barely Holdin' On,68.0,68,1
Bartender,46.4,31,20
Bartier Cardi,35.10526315789474,14,19
Bass Boat,78.5,61,2
Bass Down Low,78.75,61,12
Bat Man,89.0,89,1
Baticano,78.0,78,1
Battle Scars,79.4,71,20
Be A Light,69.0909090909091,42,22
Be Alright,46.833333333333336,23,30
Be Careful,31.2,11,20
Be Kind,52.666666666666664,29,15
Be Like Me,72.0,72,1
Be Like That,32.142857142857146,19,21
Be Real,56.15,43,20
Be Something,75.0,57,2
Beachin',50.45,26,20
Beamer; Benz; Or Bentley,69.6875,49,16
Bean (Kobe),52.5,19,2
Beast Mode,86.0,86,1
Beat Box,33.73913043478261,12,23
Beat It,74.44444444444444,52,18
Beat Of The Music,66.7,44,20
Beat The Odds,73.75,36,4
Beat This Summer,69.45,46,20
Beating Heart,93.33333333333333,88,3
Beautiful,42.9375,26,32
Beautiful As You,76.16666666666667,50,24
Beautiful Crazy,44.70967741935484,21,31
Beautiful Day,48.0,24,2
Beautiful Drug,74.15,52,20
Beautiful Lasers (2 Ways),70.0,70,1
Beautiful Lies,79.7,65,10
Beautiful Life,93.0,93,1
Beautiful Mistakes,27.8,13,25
Beautiful Monster,64.55555555555556,53,9
Beautiful Now,80.57142857142857,64,14
Beautiful Pain,99.0,99,1
Beautiful Pain (Losin My Mind),92.0,92,1
Beautiful People,30.3,13,30
Beautiful Things,8.325581395348838,2,43
Beautiful Trauma,89.6,78,15
Beautiful Trip,100.0,100,1
Beauty And A Beat,24.666666666666668,5,24
Beauty And The Beast,87.0,87,1
Beauty In The Benz,87.0,87,1
Bebe Dame,49.0,25,20
Bed,62.6,42,10
Bed Chem,24.384615384615383,14,13
Bed Intruder Song,91.66666666666667,89,3
Bed Of Lies,78.16666666666667,62,6
BedRock,12.952380952380953,2,21
Bedroom Floor,98.0,98,1
Been You,81.0,81,1
Beep Beep,69.0,64,2
Beer Can't Fix,57.666666666666664,36,18
Beer Money,68.6,51,20
Beer Never Broke My Heart,32.19047619047619,21,21
Beers Ago,68.2,52,15
Beers And Sunshine,67.46666666666667,42,15
Beers On Me,59.45,40,20
Beez In The Trap,61.5,48,20
Before Fajr,82.0,82,1
Before I Let Go,77.75,65,16
Before You Go,35.61538461538461,9,52
Beg For It,50.875,27,16
Beg Forgiveness,65.0,65,1
Beggin',31.48,13,25
Beggin' On Your Knees,76.75,58,4
Begin Again,68.7,7,20
Begin Again (Taylor's Version),77.0,77,1
Behind Barz,79.0,75,2
Beibs In The Trap,93.33333333333333,90,3
Bejeweled,51.22222222222222,6,9
Believe,76.23529411764706,31,17
Believe It,66.57142857142857,23,14
Believe Me,48.7,26,20
Believe What I Say,56.5,28,2
Believer,24.19607843137255,4,51
Bella y Sensual,95.0,95,1
Bellakeo,71.64285714285714,53,14
Bellas Finals: Price Tag / Don't You (Forget About Me)...,90.33333333333333,85,6
Belly,80.0,80,1
Belong Together,84.69565217391305,74,23
Bend Ova,95.33333333333333,92,3
Beneath Your Beautiful,76.5,34,14
Berzerk,36.6,3,20
Beso,73.0,52,12
Best Day Of My Life,33.333333333333336,11,36
Best For Me,93.0,93,1
