Track,Album Name,Artist,Release Date,Spotify Streams,TrackNameLength
Lut Gaye,Lut Gaye,Jubin Nautiyal,2/17/2021,"17,18,56,399",7
Piel,Piel,Tiago PZK,2/1/2024,"12,88,33,634",4
Pasoori,Pasoori,Shae Gill,2/6/2022,"34,69,71,014",7
the boy is mine,eternal sunshine,Ariana Grande,3/8/2024,"17,53,36,290",12
When We Were Young (The Logical Song),When We Were Young (The Logical Song),David Guetta,11/10/2023,"15,89,52,262",29
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Nu King,Jason Derulo,2/16/2024,,30
Lay Low,Lay Low,Tiï¿½ï¿,1/6/2023,"40,61,41,247",6
Bounce When She Walk,Bounce When She Walk,Ohboyprince,2/3/2023,"1,86,37,452",17
Apna Bana Le (From "Bhediya"),Apna Bana Le (From "Bhediya"),Arijit Singh,11/5/2022,"25,05,99,391",21
Hold My Hand,Hold My Hand (Music From The Motion Picture "Top Gun: Maverick"),Lady Gaga,5/3/2022,"31,56,80,664",10
Big Energy,Big Energy - Single,Latto,9/24/2021,"32,41,62,855",9
Goodbyes (feat. Young Thug),Goodbyes (Feat. Young Thug),Post Malone,7/5/2019,"1,26,39,89,128",21
Location,Location,Khalid,5/24/2016,"1,36,92,99,352",8
Italodisco,Italodisco,The Kolors,5/5/2023,"14,21,41,861",10
Perfect Night,Perfect Night,LE SSERAFIM,10/27/2023,"27,96,67,395",12
Vida de Rico,Vida de Rico,Camilo,9/21/2020,"56,88,23,269",10
Frï¿½ï¿½gil (feat. Grupo Front,Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,4/7/2023,"43,29,88,420",19
In My Feelings,Scorpion,Drake,6/29/2018,"1,38,96,07,643",12
You Broke My Heart,For All The Dogs Scary Hours Edition,Drake,10/6/2023,"12,35,22,254",15
Attention,Attention,Charlie Puth,4/20/2017,"1,80,02,54,516",9
Zhurek,Zhurek,Adam,10/6/2023,"88,93,883",6
Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,5/25/2018,"1,70,99,91,997",15
In The End,In the End,Tommee Profitt,4/6/2018,"8,50,68,645",8
Took Her To The O,Took Her To The O,King Von,2/21/2020,"49,78,32,707",13
Boyfriend,Boyfriend,Dove Cameron,2/11/2022,"63,78,36,235",9
Orquestra Maldita,Orquestra Maldita,TRASHXRL,6/15/2023,"11,94,45,482",16
Sucker,Sucker,Jonas Brothers,3/1/2019,"1,41,18,56,834",6
Alone,Alone,Marshmello,5/13/2016,"56,11,03,984",5
Moto,Moto - Single,Diler Kharkiya,1/6/2020,,4
Pareja Del Aï¿½,Pareja Del Aï¿½,Sebastian Yatra,4/16/2021,"81,79,33,263",10
PAINTING PICTURES,5LBS OF PRESSURE,Superstar Pride,10/20/2022,"19,31,09,326",16
GOOBA,GOOBA,6ix9ine,5/8/2020,"47,20,27,271",5
vampire,vampire,Olivia Rodrigo,6/30/2023,"99,75,36,616",7
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"6,61,01,468",8
6 In the Morning (feat. Nate Dogg),6 In the Morning (feat. Nate Dogg) - Single,Flex (UK),5/17/2024,"45,05,404",25
Light Switch,Light Switch (Instrumental),Charlie Puth,1/19/2022,"59,35,54,969",11
Pushpa Pushpa (From "Pushpa 2 The Rule") [HINDI],Pushpa Pushpa (From "Pushpa 2 The Rule") [HINDI],Mika Singh,5/1/2024,"18,52,457",35
On Me,On Me,Lil Baby,12/4/2020,"36,80,17,246",4
when the party's over,when the party's over,Billie Eilish,10/17/2018,"1,84,59,38,685",17
Love The Way You Lie,538 Hitzone 55,Eminem,1/1/2010,"1,53,20,52,160",16
Party,Un Verano Sin Ti,Bad Bunny,5/6/2022,"72,50,76,772",5
Make You Mine,Make You Mine,Madison Beer,2/9/2024,"12,79,09,006",11
Freaks,Freaks,Surf Curse,5/15/2021,"1,08,93,28,286",6
In Da Getto,In Da Getto,J Balvin,7/2/2021,"48,43,75,103",9
Chale,Chale - Single,Eden Muï¿½ï,2/18/2022,"41,41,04,069",5
Try That In A Small Town,Try That In A Small Town,Jason Aldean,5/19/2023,"6,64,18,201",19
Tarot,Un Verano Sin Ti,Bad Bunny,5/6/2022,"74,25,15,730",5
Mas Existe um Lugar,Mas Existe um Lugar - Single,Kaio Viana,3/23/2023,"2,49,63,236",16
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2/9/2024,"42,50,58,273",11
Petit gï¿½ï¿,Petit gï¿½ï¿,Jungeli,8/4/2023,"15,91,81,956",6
Bura Na Mano Holi Hai,Bura Na Mano Holi Hai,Shaan,2/4/2023,"1,25,047",17
ýýý,Show - Single,Ado,9/6/2023,"11,43,81,380",0
Breaking the Habit,Papercuts,Linkin Park,4/12/2024,"42,86,29,823",16
Work,ANTI (Deluxe),Rihanna,1/28/2016,"1,39,95,21,364",4
Normal,Normal,Feid,7/8/2022,"72,47,72,954",6
LALALALA,ROCK-STAR,Stray Kids,11/10/2023,"15,45,92,041",8
Sum 2 Prove,Sum 2 Prove,Lil Baby,1/10/2020,"44,49,34,033",9
Lottery (Renegade),Lottery,K CAMP,4/1/2019,"17,35,26,912",15
Meant to Be (feat. Florida Georgia Line),All Your Fault: Pt. 2,Bebe Rexha,8/11/2017,"1,38,21,91,196",31
Good Days,Good Days,SZA,12/25/2020,"1,10,58,05,922",8
Leave Before You Love Me (with Jonas Brothers),Summer 2021,Marshmello,4/28/2021,"84,46,30,935",37
Youngblood,Youngblood,5 Seconds of Summer,4/12/2018,"1,79,05,79,305",10
Sweater Weather,I'm Sorry...,The Neighbourhood,1/1/2012,"2,91,64,12,507",14
Merayu Tuhan,Merayu Tuhan,Tri Suaka,8/15/2023,"85,17,888",11
If We Being Rï¿½ï,2093,Yeat,2/16/2024,"9,25,17,121",10
Can We Kiss Forever?,Can We Kiss Forever?,Kina,8/31/2018,"63,44,93,511",16
Felices los 4,Felices los 4,Maluma,4/21/2017,"93,28,17,713",11
Mariposita,Mariposita,La Vaca Lola,3/4/2021,,10
Relaciï¿½,Relaciï¿½,Sech,4/2/2020,"46,89,00,803",6
ELOVRGA,Elovrga - Single,Alex Favela,8/18/2023,"33,38,99,135",7
Party Girl,Party Girl,StaySolidRocky,4/21/2020,"73,04,40,576",9
I Feel It Coming,I Feel It Coming,The Weeknd,11/17/2016,"1,74,90,88,490",13
Get In With Me,Get In With Me - Single,Bossman Dlow,1/19/2024,"3,94,01,314",11
Agua (with J Balvin),Agua (with J Balvin) [Music From "Sponge On The Run" Movie],Tainy,7/9/2020,"39,18,56,304",15
Human,Human,Rag'n'Bone Man,7/21/2016,"1,01,30,83,048",5
We Still Don't Trust You,WE STILL DON'T TRUST YOU,Future,4/12/2024,"6,41,93,671",19
snowfall,Snowfall - Single,ýýneheart,1/14/2022,"65,29,49,750",8
First Love,First Love - Single,Oscar Maydon,12/7/2023,"23,02,91,754",9
La_Original.mp3,La_Original.mp3,Emilia,11/2/2023,"18,44,41,175",13
OA,OA,Anuel AA,10/13/2023,"17,89,50,943",2
Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Os Quebradeiras,11/11/2022,"5,45,13,960",27
Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,8/28/2020,"57,45,05,748",23
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,4/1/2024,"7,58,94,056",6
one of wun,One of Wun,Gunna,5/10/2024,"5,84,69,975",8
Thank You (Not So Bad),Thank You (Not So Bad),Dimitri Vegas & Like Mike,12/1/2023,"20,01,51,839",16
Watch This - ARIZONATEARS Pluggnb Remix,Watch This (Lil Uzi Vert) [ARIZONATEARS Pluggnb Remix],Lil Uzi Vert,2/5/2023,"37,71,74,503",33
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/24/2019,"1,28,55,18,117",11
TO THE MOON,TO THE MOON,JNR CHOI,11/5/2021,"27,46,47,899",9
Fancy Like,Country Stuff,Walker Hayes,6/4/2021,"32,86,97,441",9
The Color Violet,Alone At Prom,Tory Lanez,12/10/2021,"80,69,18,358",14
S91,S91,KAROL G,7/14/2023,"24,01,61,044",3
LALISA,LALISA,LISA,9/10/2021,"50,26,55,066",6
Levitating,Future Nostalgia,Dua Lipa,3/27/2020,"94,68,42,175",10
RUBICON,Gï¿½ï¿½N,Peso Pluma,6/22/2023,"24,62,24,964",7
Gimme Love,Gimme Love,Sia,9/13/2023,"10,59,47,434",9
Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Mc IG,3/7/2024,"7,19,44,011",8
Akhiyaan Gulaab (From "Teri Baaton Mein Aisa Uljha Jiya"),Akhiyaan Gulaab (From "Teri Baaton Mein Aisa Uljha Jiya"),Mitraz,1/19/2024,"11,49,92,281",45
Arjan Vailly,Arjan Vailly (From "ANIMAL"),Manan Bhardwaj,11/18/2023,"12,32,76,250",11
Demons,Continued Silence - EP,Imagine Dragons,1/1/2012,"2,27,07,96,677",6
Supalonely,STELLA & STEVE,BENEE,11/15/2019,"73,84,07,486",10
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Full Circle: The Live Anthology,Major Lazer,11/20/2011,"2,08,08,78,370",15
Spin Bout U,Her Loss,Drake,11/4/2022,"35,66,85,934",9
From The Start,From The Start - Single,Laufey,5/11/2023,"36,82,56,958",12
ZOOM,ZOOM,Jessi,4/13/2022,"16,61,61,044",4
Can't Feel My Face,Your Songs 2015,The Weeknd,3/2/2015,"1,74,75,34,539",14
Quï¿½ï¿½ Onda Per,Quï¿½ï¿½ Onda Per,Grupo Firme,3/30/2023,"21,34,05,904",9
Sexy And I Know It,Sorry For Party Rocking (Japan Version),LMFAO,1/1/2011,"43,67,22,440",14
WHATS POPPIN,WHATS POPPIN,Jack Harlow,1/21/2020,"81,97,79,577",11
POR EL CONTRARIO,ESQUINAS,Becky G,9/28/2023,"13,19,38,548",14
Danza Kuduro - Cover,DON'T STOP WORKOUT -DJMIX-,DJ MIX NON-STOP CHANNEL,12/21/2023,"1,64,81,92,461",16
Rara Vez,Rara Vez,Taiu,2/8/2023,"54,41,65,928",7
That That (prod. & feat. SUGA of BTS),PSY 9th,PSY,4/29/2022,"26,94,91,606",25
Espresso,Espresso,Sabrina Carpenter,4/11/2024,"53,69,86,458",8
Whoï¿½ï¿½ï¿½s Afraid of Little O,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"16,61,68,092",19
THE LONELIEST,THE LONELIEST,Mï¿½ï¿½ne,10/7/2022,"33,05,93,989",12
Yeah Glo!,Yeah Glo! (Alternate Versions),GloRilla,2/8/2024,"8,95,13,100",7
Nunca Es Suficiente,Nunca Es Suficiente,Los ï¿½ï¿½ngeles Az,4/20/2018,"47,84,94,818",17
MANIKIN (feat. Wifisfuneral),ItWasntEnough - EP,XXXTENTACION,9/8/2023,"43,06,793",23
Copines,Copines,Aya Nakamura,8/24/2018,"38,13,22,519",7
Thank God,Different Man,Kane Brown,9/9/2022,"15,73,41,967",8
TQM,TQM - Single,Fuerza Regida,5/19/2023,"49,76,82,165",3
Lily,Different World,Alan Walker,12/14/2018,"40,38,60,053",4
Massive,"Honestly, Nevermind",Drake,6/17/2022,"25,31,14,498",7
a lot,i am > i was,21 Savage,12/21/2018,"94,98,35,159",4
Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),Tainy,8/22/2019,"71,18,61,577",22
Tek Baï¿½ï¿½,Tek Baï¿½ï¿½ï¿½ï¿½ma ,Semicenk,5/3/2024,"2,18,03,486",5
BAND4BAND,BAND4BAND (Official Video),Central Cee,6/6/2024,"8,61,44,467",9
Look What You Made Me Do,Look What You Made Me Do,Taylor Swift,8/24/2017,"1,15,23,46,128",19
WOKE UP,WOKE UP,XG,5/21/2024,"1,66,84,393",6
Toki,Toki,Casper Magico,5/2/2024,"1,37,41,023",4
Young Dumb & Broke,The RCA-List (Vol. 5),Khalid,1/1/2017,"1,52,71,59,800",14
El Beneficio De La Duda,El Beneficio De La Duda,Grupo Firme,5/28/2024,"1,55,57,247",19
ALV,"Sentimiento, Elegancia y Mï¿½ï¿½s Ma",Arcï¿½ï¿½,11/17/2023,"11,84,90,212",3
In A Minute,In A Minute,Lil Baby,4/7/2022,"17,11,18,535",9
Save Your Tears (with Ariana Grande) (Remix),After Hours (Deluxe),The Weeknd,3/20/2020,"1,54,93,17,525",34
No Se Vale,un,Camilo,2/7/2024,"1,93,88,370",8
Jerusalema (feat. Nomcebo Zikode),Jerusalem,Master KG,11/29/2019,"40,61,32,477",27
DENTRO DA HILUX,DENTRO DA HILUX - Single,Luan Pereira,8/24/2023,"17,86,99,480",13
Funk do Patinho,Funk do Patinho,Bento e Totï¿,1/22/2022,"1,61,97,748",13
El Amor de Mi Vida,El Amor de Mi Vida,Los ï¿½ï¿½ngeles Az,8/17/2023,"13,07,09,283",14
Blueberry Faygo,Certified Hitmaker,Lil Mosey,11/8/2019,"1,29,52,51,940",14
Jiggle Jiggle,Jiggle Jiggle,Duke & Jones,5/13/2022,"12,12,14,716",12
En la Intimidad,En la Intimidad,Big One,2/1/2023,"21,07,12,407",13
Counting Stars,Native (Standard),OneRepublic,1/1/2013,"2,46,60,06,842",13
Essence (feat. Tems),Essence (feat. Tems),Wizkid,10/28/2020,"24,22,54,880",15
Get Into It (Yuh),Planet Her,Doja Cat,6/25/2021,"60,31,96,133",12
RAVE,RAVE,Dxrk ï¿½ï¿½ï¿½,3/18/2022,"41,55,52,038",4
No Me Conoce,No Me Conoce,Jhay Cortez,2/22/2019,"4,95,85,127",10
offline,att.,Young Miko,4/5/2024,"10,91,49,345",7
TOPIA TWINS,UTOPIA,Travis Scott,7/28/2023,"19,63,69,387",10
Janze,Janze,Xamdam Sobirov,7/31/2023,"3,44,691",5
O Saki Saki (From "Batla House"),O Saki Saki (From "Batla House"),Neha Kakkar,7/15/2019,"14,49,85,656",23
Always Remember Us This Way,A Star Is Born Soundtrack,Lady Gaga,10/5/2018,"1,26,97,60,706",23
Monotonï¿½,Monotonï¿½,Shakira,10/19/2022,"49,87,44,348",7
Aku Sayang Tapi Kau Tak Paham,Aku Sayang Tapi Kau Tak Paham,DJ Boneng,11/15/2023,"7,16,453",24
Thought You Should Know,Thought You Should Know,Morgan Wallen,5/6/2022,"34,02,27,841",20
CAIRO,CAIRO,KAROL G,11/13/2022,"44,30,93,379",5
Cupido,Cupido,TINI,2/14/2023,"35,82,40,136",6
Raja Ji Ke Dilwa,Raja Ji Ke Dilwa,Pawan Singh,12/19/2023,"4,283",13
Out thï¿½ï¿½,Lyfï¿,Yeat,9/9/2022,"33,80,97,605",5
Winning Speech,Winning Speech,Karan Aujla,5/16/2024,"1,79,17,738",13
Home,Home - Single,Good Neighbours,1/17/2024,"20,50,68,203",4
Sobrio,Sobrio,Maluma,7/8/2021,"60,01,99,930",6
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,"24,76,82,011",36
Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,5/25/2018,"1,24,49,81,489",30
Se Acabï¿½ï¿½ la Cuaren,Viva el Perreo,Jowell & Randy,8/6/2020,"7,34,68,394",14
Look Back At It,Look Back At It,A Boogie Wit da Hoodie,12/7/2018,"76,90,61,748",12
End of Beginning,DECIDE,Djo,9/16/2022,"71,07,84,872",14
K-POP,K-POP (Chopped & Screwed),Travis Scott,7/18/2023,"28,54,81,590",4
favorite,favorite - EP,Isabel LaRosa,3/29/2024,"12,38,02,404",8
You & Me,JENNIE Special Single [You & Me],JENNIE,10/6/2023,"18,31,34,509",5
Tattoo,Tattoo,Rauw Alejandro,2/13/2020,"34,17,42,937",6
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),So Fresh The Hits of Summer 2011 + The Best Of 2010,Shakira,1/1/2010,"82,93,52,129",75
LA RANGER (feat. Myke Towers),The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,3/28/2024,"7,97,86,203",22
no tears left to cry,No Tears Left To Cry,Ariana Grande,4/20/2018,"1,33,13,71,819",16
I Fck Up,I Fck Up - Single,Prince Ayaya,10/28/2023,,6
Upside Down,Upside Down,JVKE,8/18/2020,"12,13,91,098",10
Crawling,Papercuts,Linkin Park,4/12/2024,"57,02,90,910",8
Nosso Quadro,AgroPlay Verï¿½ï¿½o V,AgroPlay,2/2/2023,"42,30,18,422",11
APAGA EL CEL,APAGA EL CEL - Single,FloyyMenor,5/17/2024,"3,32,45,898",10
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,3/26/2020,"8,62,95,058",22
Pure Cocaine,Street Gossip,Lil Baby,11/30/2018,"65,25,59,944",11
Espresso,Espresso,Sabrina Carpenter,4/12/2024,"53,69,86,458",8
Pretty Little Poison,Pretty Little Poison - Single,Warren Zeiders,3/17/2023,"14,25,12,477",18
Corazï¿½ï¿½n Roto - R,Corazï¿½ï¿½n Roto (Re,Brray,4/7/2023,"20,32,12,015",11
Summer,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Calvin Harris,1/1/2014,"1,49,75,64,072",6
Murder On My Mind,Murder On My Mind,YNW Melly,6/1/2018,"1,05,55,58,326",14
You Are The Reason,You Are The Reason,Calum Scott,11/17/2017,"1,04,25,31,612",15
Bad Liar,Bad Liar,Imagine Dragons,11/6/2018,"1,05,69,29,910",7
Wild Ones (feat. Jelly Roll),Wild Ones (feat. Jelly Roll),Jessie Murph,10/6/2023,"16,53,47,464",21
ROXANNE,ROXANNE,Arizona Zervas,10/10/2019,"1,47,49,68,552",7
Softly,Making Memories,Karan Aujla,8/18/2023,"15,00,73,848",6
Tacones Rojos,Tacones Rojos,Sebastian Yatra,10/22/2021,"64,17,56,842",12
Ride the Vibe,Ride the Vibe,NEXZ,5/20/2024,"8,99,456",11
family ties,family ties - Single,Baby Keem,8/27/2021,"78,62,98,066",10
"Perdonarte, ï¿½ï¿½Para Q","Perdonarte, ï¿½ï¿½Para Q",Los ï¿½ï¿½ngeles Az,5/23/2024,"1,95,14,243",15
Whatever It Takes,Whatever It Takes,Imagine Dragons,5/9/2017,"1,25,72,58,072",15
POP!,IM NAYEON,NAYEON,6/24/2022,"29,68,28,933",3
Into the Unknown,New Horizons,ALPHA 9,1/13/2023,"78,985",14
Lonely At The Top,Work Of Art,Asake,6/15/2023,"8,46,55,991",14
ecstacy (slowed),ecstacy (slowed),SUICIDAL-IDOL,6/6/2023,"24,26,61,037",13
Si Se Da,Si Se Da,Myke Towers,2/26/2019,"31,72,23,968",6
Holy (feat. Chance The Rapper),Holy,Justin Bieber,9/18/2020,"78,75,46,548",23
No Role Modelz,2014 Forest Hills Drive,J. Cole,12/9/2014,"2,23,51,60,830",12
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,3/16/2017,"1,45,68,94,713",23
Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,5/22/2020,"1,06,03,78,159",24
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,7/27/2023,"11,88,04,209",35
10:35,10:35,Tiï¿½ï¿,11/3/2022,"53,98,02,784",4
One Right Now (with The Weeknd),One Right Now,Post Malone,11/5/2021,"63,17,89,333",24
A Thousand Years,A Thousand Years,Christina Perri,10/18/2011,"1,65,49,56,613",14
Secreto,Secreto,Anuel AA,1/15/2019,"75,93,88,276",7
Toda Remix - Remix,Toda (Remix),Alex Rose,6/1/2018,"48,20,21,697",14
I Hate U,I Hate U - Single,SZA,12/3/2021,"45,68,71,037",6
Better Now,beerbongs & bentleys,Post Malone,4/27/2018,"1,95,34,03,531",9
Call Me Maybe,Kiss,Carly Rae Jepsen,1/1/2012,"1,39,40,48,309",11
Pobre Corazï¿½,Pobre Corazï¿½ï¿½n (En Vivo) [feat. Onda Sabanera] - Si,Ke Personajes,3/2/2023,"18,71,27,704",10
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,2/1/2019,"99,54,52,298",16
Tere Vaaste (From "Zara Hatke Zara Bachke"),Tere Vaaste (From "Zara Hatke Zara Bachke"),Varun Jain,5/22/2023,"20,33,79,355",33
Mi Kryptonita,Talento De Vida,Doble ONE Flow Letal,10/11/2023,"14,03,56,426",12
Ram Pam Pam,Ram Pam Pam,NATTI NATASHA,4/20/2021,"25,71,67,813",9
"Milo J: Bzrp Music Sessions, Vol. 57",en dormir sin Madrid,Bizarrap,10/3/2023,"18,15,16,735",27
Stuck In The Middle,BABYMONSTER Pre-Release Single [Stuck In The Middle],BABYMONSTER,2/1/2024,"2,11,67,612",16
No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,4/28/2022,"58,20,23,797",6
Aesthetic,Aesthetic,Xilo,2/14/2020,"2,73,12,761",9
get him back!,GUTS,Olivia Rodrigo,9/8/2023,"28,77,24,574",10
LA PEOPLE II,LA PEOPLE II,Peso Pluma,3/21/2024,"12,32,43,341",10
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black: Songs From The Original Motion Picture,Amy Winehouse,4/12/2024,"56,28,14,594",42
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"15,06,93,008",26
Your Love (9PM),Your Love (9PM),ATB,1/15/2021,"72,10,02,104",11
One Side,One Side,Iyanya,9/15/2022,"2,38,23,099",7
HEAT STICK,HEAT STICK,Shoreline Mafia,5/10/2024,"2,05,38,101",9
Photograph,x (Wembley Edition),Ed Sheeran,1/1/2013,"2,52,53,55,904",10
Virginia Beach,For All The Dogs,Drake,10/6/2023,"16,52,04,421",13
Great Gatsby,Nostalgia,Rod Wave,9/15/2023,"6,68,13,186",11
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofï¿½ï¿½a R,2/16/2018,"66,75,08,675",28
Ateï¿½ï¿½e Dï¿½ï,Ateï¿½ï¿½e Dï¿½ï,Mert Demir,9/22/2023,"9,83,95,711",5
Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,4/22/2022,"1,02,04,52,066",43
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,3/5/2021,"79,32,87,638",24
Jiwa Yang Bersedih,Jiwa Yang Bersedih - Single,Ghea Indrawari,5/18/2023,"22,91,20,157",16
Coco Chanel,3MEN2 KBRN,Eladio Carrion,3/17/2023,"45,92,82,058",10
Calm Down Baby,Calm Down Baby - Single,DJ Laxman,1/12/2024,"1,38,97,72,733",12
At My Worst,The Prelude,Pink Sweat$,7/17/2020,"67,02,45,273",9
TOO MUCH,TOO MUCH,The Kid LAROI,10/19/2023,"13,78,94,955",7
Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),Spice,4/30/2021,"21,84,31,985",30
Cake By The Ocean - Cover,NEW TIK&TOK - BUZZ BEST -,MUSIC LAB JPN,6/7/2023,"1,61,10,84,670",19
Miles On It,Miles on It,Marshmello,5/3/2024,"4,19,24,126",9
El Caballito,El Caballito - Single,FARIANA,6/7/2024,"1,84,278",11
PICK UP THE PHONE (feat. Nate Dogg),PICK UP THE PHONE (feat. Nate Dogg),PAWSA,5/31/2024,"22,84,977",26
Tomorrow 2 (with Cardi B),Tomorrow 2 (with Cardi B),GloRilla,9/23/2022,"15,78,06,193",19
Se Preparï¿,Se Preparï¿,Ozuna,8/10/2017,"84,69,09,112",8
Lost on You,Lost On You,LP,3/24/2016,"83,70,42,727",9
Leï¿½,Leï¿½ï¿½o - Si,Marï¿½ï¿½lia Mendo,12/8/2022,"41,57,52,953",2
What Jhumka ? (From "Rocky Aur Rani Kii Prem Kahaani"),What Jhumka ? (From "Rocky Aur Rani Kii Prem Kahaani"),Pritam,7/12/2023,"15,99,09,273",40
Lean Wit Me,Lean Wit Me,Juice WRLD,5/22/2018,"88,07,81,313",9
HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc and Phew),Quavo,5/20/2022,"39,97,07,517",17
Choli Ke Peeche (From "Crew"),Choli Ke Peeche (From "Crew") - Single,Diljit Dosanjh,3/20/2024,"1,62,64,473",21
April Rain in August Weather,April Rain in August Weather - Single,Baba Blakes,3/24/2023,"4,08,449",24
LEATHER,LEATHER,MAKAELA,1/27/2023,"1,696",7
Panini,Panini,Lil Nas X,6/20/2019,"74,17,66,886",6
She Had Me At Heads Carolina,Stereotype,Cole Swindell,4/8/2022,"24,47,09,550",23
"So Long, London",THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"17,56,13,480",12
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,"2,16,77,68,056",6
bad idea right?,bad idea right?,Olivia Rodrigo,8/11/2023,"43,35,15,672",12
"Ay, DiOs Mï¿½ï","Ay, DiOs Mï¿½ï",KAROL G,7/10/2020,"59,92,15,039",7
happier,SOUR,Olivia Rodrigo,5/21/2021,"1,13,35,35,049",7
Lalala,Lalala,Y2K,6/28/2019,"96,81,33,091",6
ONE MORE TIME,ONE MORE TIME / MORE THAN YOU KNOW,blink-182,9/21/2023,"6,20,97,485",11
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,HoneyWorks,11/21/2022,"2,31,91,929",0
Tubarï¿½ï¿½o Te,Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,9/28/2022,"15,01,77,750",8
Chichiquetere,Chichiquetere,HCTM,8/6/2022,"18,58,478",13
After Hours,After Hours,Kehlani,4/4/2024,"3,46,29,239",10
Monkeys Spinning Monkeys,SteamFun - Single,Kevin MacLeod,5/16/2011,"1,14,77,477",22
II MOST WANTED,COWBOY CARTER,Beyoncï¿,3/27/2024,"7,68,70,736",12
One Kiss (with Dua Lipa),Dua Lipa (Complete Edition),Calvin Harris,1/1/2015,"2,17,86,06,166",18
Mmhmm,Mmhmm,BigXthaPlug,10/6/2023,"15,56,48,648",5
BOP,KIRK,DaBaby,9/27/2019,"82,09,23,123",3
Husn,Husn,Anuv Jain,12/1/2023,"18,14,57,783",4
Titanium (feat. Sia),Nothing But The Beat,Sia,1/1/2011,"1,63,44,03,761",15
Kahani Suno 2.0,Kahani Suno 2.0,Kaifi Khalil,5/31/2022,"29,66,48,613",12
No_se_ve.mp3,No_se_ve.mp3 - Single,Emilia,5/3/2023,"21,83,40,846",9
Lean On (feat. Mï¿½ï¿½ & DJ Snake) - J Balvin & Farruko R,Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re,Major Lazer,9/4/2015,"5,38,22,187",33
Arcade,Arcade,Duncan Laurence,3/7/2019,"1,18,45,36,529",6
Ya Te Olvide,Ya Te Olvide,Natanael Cano,5/15/2024,"3,81,39,811",10
How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,7/17/2015,"1,15,63,42,373",17
BUTTERFLY EFFECT,EPIC AF,Travis Scott,1/1/2017,"1,38,80,24,799",15
Let You Down,Let You Down,NF,9/15/2017,"1,47,24,30,869",10
FE!N (feat. Playboi Carti),FE!N (feat. Playboi Carti),Travis Scott,3/30/2024,"65,66,18,110",19
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,MEDUZA,7/22/2022,"46,09,73,352",27
Yo Perreo Sola,YHLQMDLG,Bad Bunny,2/29/2020,"74,50,86,450",12
